I: Retrieving Release 
I: Retrieving Release.gpg 
Vormals nicht ausgewähltes Paket libkrb5support0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libkrb5support0_1.12+dfsg-2ubuntu5.1_i386.deb ...
Entpacken von libkrb5support0:i386 (1.12+dfsg-2ubuntu5.1) ...
Vormals nicht ausgewähltes Paket libk5crypto3:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libk5crypto3_1.12+dfsg-2ubuntu5.1_i386.deb ...
Entpacken von libk5crypto3:i386 (1.12+dfsg-2ubuntu5.1) ...
Vormals nicht ausgewähltes Paket libkeyutils1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libkeyutils1_1.5.6-1_i386.deb ...
Entpacken von libkeyutils1:i386 (1.5.6-1) ...
Vormals nicht ausgewähltes Paket libkrb5-3:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libkrb5-3_1.12+dfsg-2ubuntu5.1_i386.deb ...
Entpacken von libkrb5-3:i386 (1.12+dfsg-2ubuntu5.1) ...
Vormals nicht ausgewähltes Paket libgssapi-krb5-2:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libgssapi-krb5-2_1.12+dfsg-2ubuntu5.1_i386.deb ...
Entpacken von libgssapi-krb5-2:i386 (1.12+dfsg-2ubuntu5.1) ...
Vormals nicht ausgewähltes Paket libhcrypto4-heimdal:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libhcrypto4-heimdal_1.6~git20131207+dfsg-1ubuntu1.1_i386.deb ...
Entpacken von libhcrypto4-heimdal:i386 (1.6~git20131207+dfsg-1ubuntu1.1) ...
Vormals nicht ausgewähltes Paket libheimbase1-heimdal:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libheimbase1-heimdal_1.6~git20131207+dfsg-1ubuntu1.1_i386.deb ...
Entpacken von libheimbase1-heimdal:i386 (1.6~git20131207+dfsg-1ubuntu1.1) ...
Vormals nicht ausgewähltes Paket libwind0-heimdal:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libwind0-heimdal_1.6~git20131207+dfsg-1ubuntu1.1_i386.deb ...
Entpacken von libwind0-heimdal:i386 (1.6~git20131207+dfsg-1ubuntu1.1) ...
Vormals nicht ausgewähltes Paket libhx509-5-heimdal:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libhx509-5-heimdal_1.6~git20131207+dfsg-1ubuntu1.1_i386.deb ...
Entpacken von libhx509-5-heimdal:i386 (1.6~git20131207+dfsg-1ubuntu1.1) ...
Vormals nicht ausgewähltes Paket libkrb5-26-heimdal:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libkrb5-26-heimdal_1.6~git20131207+dfsg-1ubuntu1.1_i386.deb ...
Entpacken von libkrb5-26-heimdal:i386 (1.6~git20131207+dfsg-1ubuntu1.1) ...
Vormals nicht ausgewähltes Paket libheimntlm0-heimdal:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libheimntlm0-heimdal_1.6~git20131207+dfsg-1ubuntu1.1_i386.deb ...
Entpacken von libheimntlm0-heimdal:i386 (1.6~git20131207+dfsg-1ubuntu1.1) ...
Vormals nicht ausgewähltes Paket libgssapi3-heimdal:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libgssapi3-heimdal_1.6~git20131207+dfsg-1ubuntu1.1_i386.deb ...
Entpacken von libgssapi3-heimdal:i386 (1.6~git20131207+dfsg-1ubuntu1.1) ...
Vormals nicht ausgewähltes Paket libidn11:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libidn11_1.28-1ubuntu2_i386.deb ...
Entpacken von libidn11:i386 (1.28-1ubuntu2) ...
Vormals nicht ausgewähltes Paket libsasl2-modules-db:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libsasl2-modules-db_2.1.25.dfsg1-17build1_i386.deb ...
Entpacken von libsasl2-modules-db:i386 (2.1.25.dfsg1-17build1) ...
Vormals nicht ausgewähltes Paket libsasl2-2:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libsasl2-2_2.1.25.dfsg1-17build1_i386.deb ...
Entpacken von libsasl2-2:i386 (2.1.25.dfsg1-17build1) ...
Vormals nicht ausgewähltes Paket libldap-2.4-2:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libldap-2.4-2_2.4.31-1+nmu2ubuntu8.1_i386.deb ...
Entpacken von libldap-2.4-2:i386 (2.4.31-1+nmu2ubuntu8.1) ...
Vormals nicht ausgewähltes Paket libsystemd-daemon0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libsystemd-daemon0_204-5ubuntu20.12_i386.deb ...
Entpacken von libsystemd-daemon0:i386 (204-5ubuntu20.12) ...
Vormals nicht ausgewähltes Paket libapparmor1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libapparmor1_2.8.95~2430-0ubuntu5.2_i386.deb ...
Entpacken von libapparmor1:i386 (2.8.95~2430-0ubuntu5.2) ...
Vormals nicht ausgewähltes Paket libsystemd-login0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libsystemd-login0_204-5ubuntu20.12_i386.deb ...
Entpacken von libsystemd-login0:i386 (204-5ubuntu20.12) ...
Vormals nicht ausgewähltes Paket dbus wird gewählt.
Vorbereitung zum Entpacken von .../dbus_1.6.18-0ubuntu4.3_i386.deb ...
Entpacken von dbus (1.6.18-0ubuntu4.3) ...
Vormals nicht ausgewähltes Paket systemd-shim wird gewählt.
Vorbereitung zum Entpacken von .../systemd-shim_6-2bzr1_i386.deb ...
»Umleitung von /usr/share/dbus-1/system-services/org.freedesktop.systemd1.service zu /usr/share/dbus-1/system-services/org.freedesktop.systemd1.service.systemd durch systemd-shim« wird hinzugefügt
Entpacken von systemd-shim (6-2bzr1) ...
Vormals nicht ausgewähltes Paket systemd-services wird gewählt.
Vorbereitung zum Entpacken von .../systemd-services_204-5ubuntu20.12_i386.deb ...
Entpacken von systemd-services (204-5ubuntu20.12) ...
Vormals nicht ausgewähltes Paket libpam-systemd:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libpam-systemd_204-5ubuntu20.12_i386.deb ...
Entpacken von libpam-systemd:i386 (204-5ubuntu20.12) ...
Vormals nicht ausgewähltes Paket libpci3:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libpci3_1%3a3.2.1-1ubuntu5_i386.deb ...
Entpacken von libpci3:i386 (1:3.2.1-1ubuntu5) ...
Vormals nicht ausgewähltes Paket libpolkit-gobject-1-0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libpolkit-gobject-1-0_0.105-4ubuntu2.14.04.1_i386.deb ...
Entpacken von libpolkit-gobject-1-0:i386 (0.105-4ubuntu2.14.04.1) ...
Vormals nicht ausgewähltes Paket libusb-1.0-0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libusb-1.0-0_2%3a1.0.17-1ubuntu2_i386.deb ...
Entpacken von libusb-1.0-0:i386 (2:1.0.17-1ubuntu2) ...
Vormals nicht ausgewähltes Paket libxau6:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxau6_1%3a1.0.8-1_i386.deb ...
Entpacken von libxau6:i386 (1:1.0.8-1) ...
Vormals nicht ausgewähltes Paket libxdmcp6:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxdmcp6_1%3a1.1.1-1_i386.deb ...
Entpacken von libxdmcp6:i386 (1:1.1.1-1) ...
Vormals nicht ausgewähltes Paket libxcb1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxcb1_1.10-2ubuntu1_i386.deb ...
Entpacken von libxcb1:i386 (1.10-2ubuntu1) ...
Vormals nicht ausgewähltes Paket libx11-data wird gewählt.
Vorbereitung zum Entpacken von .../libx11-data_2%3a1.6.2-1ubuntu2_all.deb ...
Entpacken von libx11-data (2:1.6.2-1ubuntu2) ...
Vormals nicht ausgewähltes Paket libx11-6:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libx11-6_2%3a1.6.2-1ubuntu2_i386.deb ...
Entpacken von libx11-6:i386 (2:1.6.2-1ubuntu2) ...
Vormals nicht ausgewähltes Paket libxext6:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxext6_2%3a1.3.2-1ubuntu0.0.14.04.1_i386.deb ...
Entpacken von libxext6:i386 (2:1.3.2-1ubuntu0.0.14.04.1) ...
Vormals nicht ausgewähltes Paket libxml2:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxml2_2.9.1+dfsg1-3ubuntu4.4_i386.deb ...
Entpacken von libxml2:i386 (2.9.1+dfsg1-3ubuntu4.4) ...
Vormals nicht ausgewähltes Paket libxmuu1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxmuu1_2%3a1.1.1-1_i386.deb ...
Entpacken von libxmuu1:i386 (2:1.1.1-1) ...
Vormals nicht ausgewähltes Paket sgml-base wird gewählt.
Vorbereitung zum Entpacken von .../sgml-base_1.26+nmu4ubuntu1_all.deb ...
Entpacken von sgml-base (1.26+nmu4ubuntu1) ...
Vormals nicht ausgewähltes Paket fonts-kacst wird gewählt.
Vorbereitung zum Entpacken von .../fonts-kacst_2.01+mry-10_all.deb ...
Entpacken von fonts-kacst (2.01+mry-10) ...
Vormals nicht ausgewähltes Paket fonts-kacst-one wird gewählt.
Vorbereitung zum Entpacken von .../fonts-kacst-one_5.0+svn11846-7_all.deb ...
Entpacken von fonts-kacst-one (5.0+svn11846-7) ...
Vormals nicht ausgewähltes Paket fonts-nanum wird gewählt.
Vorbereitung zum Entpacken von .../fonts-nanum_20131007-1_all.deb ...
Entpacken von fonts-nanum (20131007-1) ...
Vormals nicht ausgewähltes Paket fonts-takao-pgothic wird gewählt.
Vorbereitung zum Entpacken von .../fonts-takao-pgothic_003.02.01-9ubuntu2_all.deb ...
Entpacken von fonts-takao-pgothic (003.02.01-9ubuntu2) ...
Vormals nicht ausgewähltes Paket language-pack-en-base wird gewählt.
Vorbereitung zum Entpacken von .../language-pack-en-base_1%3a14.04+20150219_all.deb ...
Entpacken von language-pack-en-base (1:14.04+20150219) ...
Vormals nicht ausgewähltes Paket language-pack-en wird gewählt.
Vorbereitung zum Entpacken von .../language-pack-en_1%3a14.04+20150219_all.deb ...
Entpacken von language-pack-en (1:14.04+20150219) ...
Vormals nicht ausgewähltes Paket libasound2-data wird gewählt.
Vorbereitung zum Entpacken von .../libasound2-data_1.0.27.2-3ubuntu7_all.deb ...
Entpacken von libasound2-data (1.0.27.2-3ubuntu7) ...
Vormals nicht ausgewähltes Paket libasound2:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libasound2_1.0.27.2-3ubuntu7_i386.deb ...
Entpacken von libasound2:i386 (1.0.27.2-3ubuntu7) ...
Vormals nicht ausgewähltes Paket libsamplerate0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libsamplerate0_0.1.8-7_i386.deb ...
Entpacken von libsamplerate0:i386 (0.1.8-7) ...
Vormals nicht ausgewähltes Paket libjack-jackd2-0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libjack-jackd2-0_1.9.9.5+20130622git7de15e7a-1ubuntu1_i386.deb ...
Entpacken von libjack-jackd2-0:i386 (1.9.9.5+20130622git7de15e7a-1ubuntu1) ...
Vormals nicht ausgewähltes Paket libasyncns0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libasyncns0_0.8-4ubuntu2_i386.deb ...
Entpacken von libasyncns0:i386 (0.8-4ubuntu2) ...
Vormals nicht ausgewähltes Paket libogg0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libogg0_1.3.1-1ubuntu1_i386.deb ...
Entpacken von libogg0:i386 (1.3.1-1ubuntu1) ...
Vormals nicht ausgewähltes Paket libflac8:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libflac8_1.3.0-2ubuntu0.14.04.1_i386.deb ...
Entpacken von libflac8:i386 (1.3.0-2ubuntu0.14.04.1) ...
Vormals nicht ausgewähltes Paket libvorbis0a:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libvorbis0a_1.3.2-1.3ubuntu1_i386.deb ...
Entpacken von libvorbis0a:i386 (1.3.2-1.3ubuntu1) ...
Vormals nicht ausgewähltes Paket libvorbisenc2:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libvorbisenc2_1.3.2-1.3ubuntu1_i386.deb ...
Entpacken von libvorbisenc2:i386 (1.3.2-1.3ubuntu1) ...
Vormals nicht ausgewähltes Paket libsndfile1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libsndfile1_1.0.25-7ubuntu2_i386.deb ...
Entpacken von libsndfile1:i386 (1.0.25-7ubuntu2) ...
Vormals nicht ausgewähltes Paket libwrap0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libwrap0_7.6.q-25_i386.deb ...
Entpacken von libwrap0:i386 (7.6.q-25) ...
Vormals nicht ausgewähltes Paket libpulse0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libpulse0_1%3a4.0-0ubuntu11.1_i386.deb ...
Entpacken von libpulse0:i386 (1:4.0-0ubuntu11.1) ...
Vormals nicht ausgewähltes Paket libspeexdsp1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libspeexdsp1_1.2~rc1.1-1ubuntu1_i386.deb ...
Entpacken von libspeexdsp1:i386 (1.2~rc1.1-1ubuntu1) ...
Vormals nicht ausgewähltes Paket libasound2-plugins:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libasound2-plugins_1.0.27-2ubuntu2_i386.deb ...
Entpacken von libasound2-plugins:i386 (1.0.27-2ubuntu2) ...
Vormals nicht ausgewähltes Paket libatk1.0-data wird gewählt.
Vorbereitung zum Entpacken von .../libatk1.0-data_2.10.0-2ubuntu2_all.deb ...
Entpacken von libatk1.0-data (2.10.0-2ubuntu2) ...
Vormals nicht ausgewähltes Paket libatk1.0-0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libatk1.0-0_2.10.0-2ubuntu2_i386.deb ...
Entpacken von libatk1.0-0:i386 (2.10.0-2ubuntu2) ...
Vormals nicht ausgewähltes Paket libavahi-common-data:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libavahi-common-data_0.6.31-4ubuntu1_i386.deb ...
Entpacken von libavahi-common-data:i386 (0.6.31-4ubuntu1) ...
Vormals nicht ausgewähltes Paket libavahi-common3:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libavahi-common3_0.6.31-4ubuntu1_i386.deb ...
Entpacken von libavahi-common3:i386 (0.6.31-4ubuntu1) ...
Vormals nicht ausgewähltes Paket libavahi-client3:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libavahi-client3_0.6.31-4ubuntu1_i386.deb ...
Entpacken von libavahi-client3:i386 (0.6.31-4ubuntu1) ...
Vormals nicht ausgewähltes Paket fonts-dejavu-core wird gewählt.
Vorbereitung zum Entpacken von .../fonts-dejavu-core_2.34-1ubuntu1_all.deb ...
Entpacken von fonts-dejavu-core (2.34-1ubuntu1) ...
Vormals nicht ausgewähltes Paket fonts-freefont-ttf wird gewählt.
Vorbereitung zum Entpacken von .../fonts-freefont-ttf_20120503-4_all.deb ...
Entpacken von fonts-freefont-ttf (20120503-4) ...
Vormals nicht ausgewähltes Paket fontconfig-config wird gewählt.
Vorbereitung zum Entpacken von .../fontconfig-config_2.11.0-0ubuntu4.1_all.deb ...
Entpacken von fontconfig-config (2.11.0-0ubuntu4.1) ...
Vormals nicht ausgewähltes Paket libfreetype6:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libfreetype6_2.5.2-1ubuntu2.4_i386.deb ...
Entpacken von libfreetype6:i386 (2.5.2-1ubuntu2.4) ...
Vormals nicht ausgewähltes Paket libfontconfig1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libfontconfig1_2.11.0-0ubuntu4.1_i386.deb ...
Entpacken von libfontconfig1:i386 (2.11.0-0ubuntu4.1) ...
Vormals nicht ausgewähltes Paket libpixman-1-0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libpixman-1-0_0.30.2-2ubuntu1_i386.deb ...
Entpacken von libpixman-1-0:i386 (0.30.2-2ubuntu1) ...
Vormals nicht ausgewähltes Paket libxcb-render0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxcb-render0_1.10-2ubuntu1_i386.deb ...
Entpacken von libxcb-render0:i386 (1.10-2ubuntu1) ...
Vormals nicht ausgewähltes Paket libxcb-shm0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxcb-shm0_1.10-2ubuntu1_i386.deb ...
Entpacken von libxcb-shm0:i386 (1.10-2ubuntu1) ...
Vormals nicht ausgewähltes Paket libxrender1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxrender1_1%3a0.9.8-1build0.14.04.1_i386.deb ...
Entpacken von libxrender1:i386 (1:0.9.8-1build0.14.04.1) ...
Vormals nicht ausgewähltes Paket libcairo2:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libcairo2_1.13.0~20140204-0ubuntu1.1_i386.deb ...
Entpacken von libcairo2:i386 (1.13.0~20140204-0ubuntu1.1) ...
Vormals nicht ausgewähltes Paket libgmp10:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libgmp10_2%3a5.1.3+dfsg-1ubuntu1_i386.deb ...
Entpacken von libgmp10:i386 (2:5.1.3+dfsg-1ubuntu1) ...
Vormals nicht ausgewähltes Paket libisl10:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libisl10_0.12.2-1_i386.deb ...
Entpacken von libisl10:i386 (0.12.2-1) ...
Vormals nicht ausgewähltes Paket libcloog-isl4:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libcloog-isl4_0.18.2-1_i386.deb ...
Entpacken von libcloog-isl4:i386 (0.18.2-1) ...
Vormals nicht ausgewähltes Paket libcups2:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libcups2_1.7.2-0ubuntu1.6_i386.deb ...
Entpacken von libcups2:i386 (1.7.2-0ubuntu1.6) ...
Vormals nicht ausgewähltes Paket libjpeg-turbo8:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libjpeg-turbo8_1.3.0-0ubuntu2_i386.deb ...
Entpacken von libjpeg-turbo8:i386 (1.3.0-0ubuntu2) ...
Vormals nicht ausgewähltes Paket libjpeg8:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libjpeg8_8c-2ubuntu8_i386.deb ...
Entpacken von libjpeg8:i386 (8c-2ubuntu8) ...
Vormals nicht ausgewähltes Paket libjbig0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libjbig0_2.0-2ubuntu4.1_i386.deb ...
Entpacken von libjbig0:i386 (2.0-2ubuntu4.1) ...
Vormals nicht ausgewähltes Paket libtiff5:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libtiff5_4.0.3-7ubuntu0.3_i386.deb ...
Entpacken von libtiff5:i386 (4.0.3-7ubuntu0.3) ...
Vormals nicht ausgewähltes Paket libcupsfilters1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libcupsfilters1_1.0.52-0ubuntu1.5_i386.deb ...
Entpacken von libcupsfilters1:i386 (1.0.52-0ubuntu1.5) ...
Vormals nicht ausgewähltes Paket libcupsimage2:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libcupsimage2_1.7.2-0ubuntu1.6_i386.deb ...
Entpacken von libcupsimage2:i386 (1.7.2-0ubuntu1.6) ...
Vormals nicht ausgewähltes Paket libdatrie1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libdatrie1_0.2.8-1_i386.deb ...
Entpacken von libdatrie1:i386 (0.2.8-1) ...
Vormals nicht ausgewähltes Paket libpciaccess0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libpciaccess0_0.13.2-1_i386.deb ...
Entpacken von libpciaccess0:i386 (0.13.2-1) ...
Vormals nicht ausgewähltes Paket libdrm-intel1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libdrm-intel1_2.4.60-2~ubuntu14.04.1_i386.deb ...
Entpacken von libdrm-intel1:i386 (2.4.60-2~ubuntu14.04.1) ...
Vormals nicht ausgewähltes Paket libdrm-nouveau2:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libdrm-nouveau2_2.4.60-2~ubuntu14.04.1_i386.deb ...
Entpacken von libdrm-nouveau2:i386 (2.4.60-2~ubuntu14.04.1) ...
Vormals nicht ausgewähltes Paket libdrm-radeon1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libdrm-radeon1_2.4.60-2~ubuntu14.04.1_i386.deb ...
Entpacken von libdrm-radeon1:i386 (2.4.60-2~ubuntu14.04.1) ...
Vormals nicht ausgewähltes Paket libllvm3.4:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libllvm3.4_1%3a3.4-1ubuntu3_i386.deb ...
Entpacken von libllvm3.4:i386 (1:3.4-1ubuntu3) ...
Vormals nicht ausgewähltes Paket libgl1-mesa-dri:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libgl1-mesa-dri_10.1.3-0ubuntu0.4_i386.deb ...
Entpacken von libgl1-mesa-dri:i386 (10.1.3-0ubuntu0.4) ...
Vormals nicht ausgewähltes Paket libwayland-client0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libwayland-client0_1.4.0-1ubuntu1_i386.deb ...
Entpacken von libwayland-client0:i386 (1.4.0-1ubuntu1) ...
Vormals nicht ausgewähltes Paket libwayland-server0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libwayland-server0_1.4.0-1ubuntu1_i386.deb ...
Entpacken von libwayland-server0:i386 (1.4.0-1ubuntu1) ...
Vormals nicht ausgewähltes Paket libxcb-dri2-0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxcb-dri2-0_1.10-2ubuntu1_i386.deb ...
Entpacken von libxcb-dri2-0:i386 (1.10-2ubuntu1) ...
Vormals nicht ausgewähltes Paket libgbm1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libgbm1_10.1.3-0ubuntu0.4_i386.deb ...
Entpacken von libgbm1:i386 (10.1.3-0ubuntu0.4) ...
Vormals nicht ausgewähltes Paket libx11-xcb1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libx11-xcb1_2%3a1.6.2-1ubuntu2_i386.deb ...
Entpacken von libx11-xcb1:i386 (2:1.6.2-1ubuntu2) ...
Vormals nicht ausgewähltes Paket libxcb-xfixes0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxcb-xfixes0_1.10-2ubuntu1_i386.deb ...
Entpacken von libxcb-xfixes0:i386 (1.10-2ubuntu1) ...
Vormals nicht ausgewähltes Paket libegl1-mesa:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libegl1-mesa_10.1.3-0ubuntu0.4_i386.deb ...
Entpacken von libegl1-mesa:i386 (10.1.3-0ubuntu0.4) ...
Vormals nicht ausgewähltes Paket libglapi-mesa:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libglapi-mesa_10.1.3-0ubuntu0.4_i386.deb ...
Entpacken von libglapi-mesa:i386 (10.1.3-0ubuntu0.4) ...
Vormals nicht ausgewähltes Paket libopenvg1-mesa:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libopenvg1-mesa_10.1.3-0ubuntu0.4_i386.deb ...
Entpacken von libopenvg1-mesa:i386 (10.1.3-0ubuntu0.4) ...
Vormals nicht ausgewähltes Paket libxfixes3:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxfixes3_1%3a5.0.1-1ubuntu1.1_i386.deb ...
Entpacken von libxfixes3:i386 (1:5.0.1-1ubuntu1.1) ...
Vormals nicht ausgewähltes Paket libwayland-egl1-mesa:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libwayland-egl1-mesa_10.1.3-0ubuntu0.4_i386.deb ...
Entpacken von libwayland-egl1-mesa:i386 (10.1.3-0ubuntu0.4) ...
Vormals nicht ausgewähltes Paket libegl1-mesa-drivers:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libegl1-mesa-drivers_10.1.3-0ubuntu0.4_i386.deb ...
Entpacken von libegl1-mesa-drivers:i386 (10.1.3-0ubuntu0.4) ...
Vormals nicht ausgewähltes Paket libexif12:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libexif12_0.6.21-1ubuntu1_i386.deb ...
Entpacken von libexif12:i386 (0.6.21-1ubuntu1) ...
Vormals nicht ausgewähltes Paket libgomp1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libgomp1_4.8.4-2ubuntu1~14.04_i386.deb ...
Entpacken von libgomp1:i386 (4.8.4-2ubuntu1~14.04) ...
Vormals nicht ausgewähltes Paket libfftw3-single3:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libfftw3-single3_3.3.3-7ubuntu3_i386.deb ...
Entpacken von libfftw3-single3:i386 (3.3.3-7ubuntu3) ...
Vormals nicht ausgewähltes Paket libfontenc1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libfontenc1_1%3a1.1.2-1_i386.deb ...
Entpacken von libfontenc1:i386 (1:1.1.2-1) ...
Vormals nicht ausgewähltes Paket libxkbfile1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxkbfile1_1%3a1.0.8-1_i386.deb ...
Entpacken von libxkbfile1:i386 (1:1.0.8-1) ...
Vormals nicht ausgewähltes Paket libfreerdp1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libfreerdp1_1.0.2-2ubuntu1_i386.deb ...
Entpacken von libfreerdp1:i386 (1.0.2-2ubuntu1) ...
Vormals nicht ausgewähltes Paket libfreerdp-plugins-standard:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libfreerdp-plugins-standard_1.0.2-2ubuntu1_i386.deb ...
Entpacken von libfreerdp-plugins-standard:i386 (1.0.2-2ubuntu1) ...
Vormals nicht ausgewähltes Paket libfs6:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libfs6_2%3a1.0.5-1_i386.deb ...
Entpacken von libfs6:i386 (2:1.0.5-1) ...
Vormals nicht ausgewähltes Paket libvpx1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libvpx1_1.3.0-2_i386.deb ...
Entpacken von libvpx1:i386 (1.3.0-2) ...
Vormals nicht ausgewähltes Paket libxpm4:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxpm4_1%3a3.5.10-1_i386.deb ...
Entpacken von libxpm4:i386 (1:3.5.10-1) ...
Vormals nicht ausgewähltes Paket libgd3:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libgd3_2.1.0-3_i386.deb ...
Entpacken von libgd3:i386 (2.1.0-3) ...
Vormals nicht ausgewähltes Paket libjasper1:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libjasper1_1.900.1-14ubuntu3.2_i386.deb ...
Entpacken von libjasper1:i386 (1.900.1-14ubuntu3.2) ...
Vormals nicht ausgewähltes Paket libgdk-pixbuf2.0-common wird gewählt.
Vorbereitung zum Entpacken von .../libgdk-pixbuf2.0-common_2.30.7-0ubuntu1_all.deb ...
Entpacken von libgdk-pixbuf2.0-common (2.30.7-0ubuntu1) ...
Vormals nicht ausgewähltes Paket libgdk-pixbuf2.0-0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libgdk-pixbuf2.0-0_2.30.7-0ubuntu1_i386.deb ...
Entpacken von libgdk-pixbuf2.0-0:i386 (2.30.7-0ubuntu1) ...
Vormals nicht ausgewähltes Paket libxcb-dri3-0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxcb-dri3-0_1.10-2ubuntu1_i386.deb ...
Entpacken von libxcb-dri3-0:i386 (1.10-2ubuntu1) ...
Vormals nicht ausgewähltes Paket libxcb-glx0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxcb-glx0_1.10-2ubuntu1_i386.deb ...
Entpacken von libxcb-glx0:i386 (1.10-2ubuntu1) ...
Vormals nicht ausgewähltes Paket libxcb-present0:i386 wird gewählt.
Vorbereitung zum Entpacken von .../libxcb-present0_1.10-2ubuntu1_i386.deb ...
